epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,68634.1,1.04672,0.395,0.0026,0.84694,0.80379,0.86578,0.64205,1.05985,0.41069,0.0032,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,70055.7,1.03824,0.38717,0.00257,0.84634,0.80508,0.86501,0.64181,1.05988,0.41093,0.0032,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,71478.3,1.03528,0.38317,0.00257,0.85129,0.80229,0.8656,0.64223,1.06006,0.41071,0.0032,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,72901.9,1.03612,0.38375,0.00256,0.84821,0.80506,0.86546,0.6422,1.06004,0.41074,0.0032,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,74322.7,1.02687,0.37926,0.00253,0.8477,0.80387,0.8654,0.64225,1.05998,0.41089,0.0032,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,75746.4,1.02468,0.37566,0.00254,0.84697,0.80721,0.86559,0.64235,1.05988,0.41032,0.0032,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,77173.1,1.01751,0.37438,0.00252,0.84875,0.80657,0.86594,0.64262,1.06046,0.40977,0.0032,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,78595.4,1.0181,0.37364,0.00251,0.84918,0.80714,0.8653,0.64224,1.06055,0.40978,0.0032,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,80016.4,1.00995,0.36899,0.00249,0.84603,0.81024,0.86512,0.64188,1.06033,0.41047,0.0032,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,81438.2,1.00378,0.36638,0.00248,0.84414,0.811,0.865,0.6419,1.06054,0.4106,0.0032,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,82860.9,0.99882,0.36396,0.00248,0.84548,0.80989,0.86468,0.64186,1.06064,0.41099,0.0032,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,84283,1.00008,0.36272,0.00246,0.84603,0.81065,0.8644,0.64165,1.06088,0.41138,0.0032,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,85702.9,0.99295,0.36016,0.00245,0.8514,0.80743,0.86404,0.64164,1.06094,0.41205,0.0032,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,87124.7,0.99218,0.35831,0.00244,0.85536,0.80298,0.86349,0.64165,1.06116,0.41331,0.0032,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
