epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,8159.84,1.62878,0.86304,0.00174,0.56409,0.44309,0.46094,0.28267,1.69366,1.19142,0.00273,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,8353.18,1.63202,0.86506,0.00172,0.57757,0.43372,0.45853,0.27929,1.6971,1.19383,0.00274,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,8545.42,1.62164,0.85069,0.00172,0.57839,0.43685,0.46105,0.28273,1.69283,1.19383,0.00273,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8737.53,1.61496,0.84762,0.00171,0.58756,0.4355,0.4586,0.28153,1.69983,1.19826,0.00273,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,8929.46,1.60897,0.83916,0.00171,0.56896,0.44187,0.46234,0.28341,1.69821,1.18944,0.00273,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,9121.98,1.59992,0.83636,0.00169,0.56512,0.43964,0.45664,0.28034,1.69696,1.20455,0.00272,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,9314.35,1.59924,0.83354,0.00168,0.56838,0.44713,0.4646,0.28397,1.69626,1.19579,0.00272,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,9507.56,1.58623,0.82464,0.00166,0.57359,0.43841,0.4608,0.28256,1.69333,1.20282,0.00272,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,9701.33,1.58309,0.82467,0.00167,0.57354,0.4432,0.45956,0.28303,1.69532,1.20311,0.00272,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,9893.97,1.57749,0.81809,0.00165,0.56664,0.44004,0.45771,0.28078,1.69763,1.21594,0.00272,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,10087.7,1.56822,0.80582,0.00165,0.56618,0.44909,0.46374,0.28536,1.69152,1.20229,0.00271,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
