epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,4018.53,1.79855,1.08948,0.00204,0.49572,0.39889,0.40427,0.24026,1.82579,1.28602,0.003,0.000113169,0.000113169,0.000113169
70,4076.01,1.7982,1.0854,0.00204,0.51031,0.39168,0.40504,0.24105,1.82358,1.29168,0.003,0.000104333,0.000104333,0.000104333
71,4130.3,1.74601,1.05344,0.00213,0.51199,0.38675,0.40258,0.23972,1.83314,1.29322,0.00302,9.54975e-05,9.54975e-05,9.54975e-05
72,4183.12,1.72616,1.0366,0.0021,0.51329,0.38685,0.40147,0.23883,1.83094,1.29499,0.00302,8.66618e-05,8.66618e-05,8.66618e-05
73,4236.11,1.72584,1.03217,0.0021,0.51342,0.38817,0.40226,0.23882,1.83468,1.29479,0.00302,7.7826e-05,7.7826e-05,7.7826e-05
74,4289.34,1.72349,1.02905,0.00209,0.51504,0.38955,0.40308,0.24042,1.83159,1.29445,0.00302,6.89903e-05,6.89903e-05,6.89903e-05
75,4342.37,1.71554,1.02723,0.00209,0.51598,0.38521,0.40197,0.23929,1.8309,1.29615,0.00302,6.01545e-05,6.01545e-05,6.01545e-05
76,4395.61,1.71345,1.02202,0.00208,0.51534,0.38745,0.40286,0.24,1.83108,1.29335,0.00302,5.13187e-05,5.13187e-05,5.13187e-05
77,4448.75,1.71534,1.01869,0.00207,0.51733,0.38483,0.40132,0.23896,1.8331,1.29577,0.00302,4.2483e-05,4.2483e-05,4.2483e-05
78,4502.23,1.71389,1.019,0.00207,0.50877,0.38764,0.40221,0.23977,1.83025,1.29621,0.00301,3.36472e-05,3.36472e-05,3.36472e-05
79,4555.63,1.71136,1.01747,0.00206,0.51542,0.38374,0.40179,0.2391,1.83155,1.29603,0.00302,2.48115e-05,2.48115e-05,2.48115e-05
80,4608.77,1.71059,1.01676,0.00206,0.51377,0.3855,0.40208,0.23908,1.83289,1.29684,0.00302,1.59757e-05,1.59757e-05,1.59757e-05
